iter	Logloss
0	0.6773767697
1	0.6648358707
2	0.654648615
3	0.6454916508
4	0.6390820637
5	0.6323711876
6	0.6270297828
7	0.6213832489
8	0.6162643975
9	0.6124061155
10	0.6084577005
11	0.6056589556
12	0.6026862085
13	0.6000078633
14	0.5980097701
15	0.5952354486
16	0.593051215
17	0.5915549545
18	0.5894098584
19	0.5877450024
20	0.5863815001
21	0.5845701368
22	0.582730901
23	0.581458014
24	0.5800838426
25	0.5789095822
26	0.5776751075
27	0.5761657071
28	0.5750614946
29	0.5741299802
30	0.5731059261
31	0.5721261814
32	0.5712298684
33	0.5703807354
34	0.5696130137
35	0.5688127829
36	0.5680105988
37	0.5669800689
38	0.5662811517
39	0.565220907
40	0.5646360892
41	0.563896174
42	0.5630504895
43	0.56232664
44	0.5614690504
45	0.5608196394
46	0.5600922164
47	0.5592993431
48	0.5587792184
49	0.5582955609
50	0.5577169075
51	0.5572966068
52	0.5568405759
53	0.5562478896
54	0.55578456
55	0.5551776817
56	0.5547506794
57	0.5540793186
58	0.5536859662
59	0.5532901924
60	0.5527970599
61	0.5523250778
62	0.5519704501
63	0.5516419985
64	0.5511478012
65	0.5507107584
66	0.5503289335
67	0.5498445957
68	0.5495047263
69	0.5491282177
70	0.5487312716
71	0.5482514529
72	0.547620885
73	0.5471423965
74	0.5468513063
75	0.5465193018
76	0.5460373151
77	0.5455270123
78	0.5448376911
79	0.5445449064
80	0.5439012201
81	0.5435902729
82	0.5432715718
83	0.5429461162
84	0.5426539078
85	0.5424167027
86	0.5421434891
87	0.54186842
88	0.5415124324
89	0.541172215
90	0.5407702296
91	0.5403241356
92	0.5398627122
93	0.5394637635
94	0.5390468462
95	0.5386850832
96	0.5383974868
97	0.5381039324
98	0.5378372812
99	0.5375380423
100	0.537096762
101	0.5366478098
102	0.5362132456
103	0.5357520295
104	0.5355120149
105	0.5351221769
106	0.5346916949
107	0.5343366279
108	0.5341186261
109	0.5338126634
110	0.5335048639
111	0.5330617459
112	0.532653251
113	0.5321611843
114	0.531667394
115	0.5312579193
116	0.5308768093
117	0.5304902345
118	0.5301111503
119	0.5297546777
120	0.5294027427
121	0.5290408789
122	0.5287043513
123	0.5282732372
124	0.5279154366
125	0.5276187263
126	0.5273403366
127	0.5268674199
128	0.5265302073
129	0.5261736329
130	0.5257764244
131	0.5253647036
132	0.5251168477
133	0.5247319955
134	0.5243654233
135	0.5240261496
136	0.5236961748
137	0.523257127
138	0.5229429492
139	0.5225943029
140	0.5222557976
141	0.5218624348
142	0.5215641419
143	0.5212000094
144	0.5207810941
145	0.5204418517
146	0.5201151329
147	0.5197247235
148	0.5193387889
149	0.5189552912
150	0.5185464298
151	0.5180408147
152	0.5176955852
153	0.5173404351
154	0.5170195192
155	0.5166873554
156	0.516378034
157	0.5160868575
158	0.5157792007
159	0.5153707949
160	0.5150031941
161	0.5147185698
162	0.5143639534
163	0.5140303067
164	0.513687966
165	0.5133414245
166	0.5129930039
167	0.5126569732
168	0.512191336
169	0.5118540451
170	0.5115125594
171	0.5112427213
172	0.5108426773
173	0.5105604444
174	0.5102315674
175	0.5099233027
176	0.5096001617
177	0.5091517004
178	0.5088102749
179	0.5084640456
180	0.5081849376
181	0.5078899833
182	0.5075262436
183	0.5072955206
184	0.5069976515
185	0.5066408066
186	0.5063229554
187	0.5060160941
188	0.5057865638
189	0.5054807805
190	0.5051481038
191	0.5048612506
192	0.5045852829
193	0.5042308901
194	0.5039030873
195	0.5035102606
196	0.5032532474
197	0.5028852376
198	0.5025977767
199	0.5023283565
